transformer_id,region_id,capacity_kva,installation_date,last_maintenance_date,failure_count,health_score
500048,111,500,2008-08-24,2025-11-13,3,79.54
500049,111,160,2011-10-07,2025-02-14,1,87.46
500050,110,500,2018-10-04,2025-12-24,3,75.27
500051,115,100,2011-08-18,2024-09-01,2,71.56
500052,123,160,2015-11-07,2025-05-18,3,60.35
500053,104,250,2017-12-21,2026-06-09,1,94.74
500054,108,1000,2016-02-04,2024-11-05,0,100.0
500055,115,63,2011-01-26,2026-05-20,4,42.79
500056,119,500,2020-08-06,2026-06-08,1,91.76
500057,114,100,2017-11-27,2025-06-03,4,53.43
500058,124,63,2023-12-18,2024-09-26,1,86.47
500059,118,63,2020-10-30,2025-01-05,2,78.44
500060,109,160,2009-08-30,2025-10-14,2,86.89
500061,104,25,2024-12-15,2025-03-28,4,78.45
500062,121,250,2008-01-17,2026-01-16,1,85.9
500063,119,63,2020-09-16,2025-06-28,4,56.78
500064,103,160,2010-09-26,2026-05-04,1,93.4
500065,105,160,2024-09-29,2026-03-24,1,86.41
500066,104,25,2008-07-07,2024-10-19,2,76.13
500067,118,500,2023-04-05,2024-10-27,0,100.0
500068,116,25,2007-05-25,2025-10-21,2,85.14
500069,121,500,2009-08-21,2024-09-28,3,76.03
500070,114,1000,2018-08-29,2025-06-16,0,100.0
500071,110,250,2019-01-23,2026-03-05,1,89.05
500072,101,500,2019-03-03,2026-04-22,0,100.0
500073,110,25,2014-11-13,2026-01-14,2,88.35
500074,108,1000,2022-05-04,2025-05-19,3,81.0
500075,103,160,2014-08-20,2024-12-26,1,85.21
500076,107,63,2018-08-25,2025-09-07,1,92.03
500077,102,100,2015-10-23,2025-07-21,4,45.79
500078,117,500,2023-05-05,2025-10-27,1,88.12
500079,124,63,2018-02-06,2024-11-15,5,28.21
500080,117,160,2012-06-14,2024-10-05,3,80.99
500081,123,500,2021-07-04,2024-12-07,2,89.73
500082,104,500,2011-09-11,2025-02-10,1,94.61
500083,110,250,2020-08-19,2025-01-07,3,64.92
500084,118,160,2011-12-27,2024-12-25,1,89.93
500085,108,160,2021-04-23,2025-05-12,2,83.77
500086,105,500,2012-01-18,2025-02-09,2,77.74
500087,107,500,2014-06-08,2025-07-11,3,57.5
500088,113,160,2016-07-15,2026-01-17,1,92.08
500089,112,160,2008-03-01,2025-11-24,1,91.53
500090,104,63,2023-02-02,2025-03-14,0,100.0
500091,108,500,2011-07-28,2025-11-29,3,79.43
500092,115,1000,2021-09-14,2024-09-04,3,74.76
500093,114,25,2007-12-31,2024-09-10,1,90.6
500094,104,100,2019-04-07,2025-07-04,1,93.59
500095,107,1000,2012-09-11,2026-03-30,2,87.67
500096,118,500,2017-05-01,2025-08-10,3,75.37
500097,102,500,2025-06-01,2025-06-17,2,72.47
500098,115,250,2014-07-18,2024-12-22,4,73.38
500099,102,160,2007-11-25,2024-08-26,1,89.77
500100,123,25,2009-10-31,2025-10-09,1,93.5
500101,110,25,2016-06-19,2025-03-18,0,100.0
500102,118,160,2007-06-20,2024-07-28,2,75.61
500103,110,250,2012-01-25,2025-04-18,0,100.0
500104,121,160,2019-01-24,2025-09-06,7,6.04
500105,104,160,2019-07-24,2024-11-25,3,79.58
500106,124,250,2022-04-04,2025-07-01,3,58.73
500107,109,160,2011-05-07,2025-01-24,2,78.11
500108,122,500,2009-11-26,2025-09-30,2,80.75
500109,116,250,2016-09-18,2024-06-24,7,58.31
500110,115,160,2014-01-07,2024-09-14,4,50.1
500111,107,25,2022-06-27,2025-10-28,3,84.63
500112,116,63,2025-05-15,2025-12-25,1,88.9
500113,115,160,2007-03-17,2025-01-19,3,78.99
500114,110,63,2007-09-09,2024-10-19,4,59.25
500115,104,100,2012-11-16,2026-05-11,0,100.0
500116,125,500,2024-07-29,2024-07-06,1,88.63
500117,122,25,2007-07-26,2024-12-22,3,62.36
500118,118,160,2013-05-12,2025-06-23,4,75.92
500119,102,500,2021-06-02,2026-04-15,0,100.0
500120,121,160,2019-06-02,2025-03-13,1,87.07
500121,114,100,2019-12-21,2024-10-06,2,73.68
500122,118,250,2016-05-30,2025-06-27,0,100.0
500123,117,500,2012-12-01,2024-10-30,0,100.0
500124,117,100,2016-05-12,2026-03-26,3,82.59
500125,101,25,2014-06-29,2025-10-26,1,86.0
500126,117,63,2010-03-01,2025-10-01,2,74.1
500127,113,160,2021-09-18,2025-06-05,0,100.0
500128,104,250,2023-02-25,2026-05-04,4,79.29
500129,120,63,2016-04-20,2025-01-20,1,91.08
500130,101,63,2018-07-27,2025-04-10,5,57.83
500131,117,250,2020-07-22,2026-04-09,2,76.05
500132,115,160,2022-07-04,2026-01-31,4,50.79
500133,122,1000,2020-01-06,2025-05-30,1,86.31
500134,112,250,2010-09-24,2024-07-14,5,55.18
500135,121,160,2009-04-08,2025-11-11,2,72.86
500136,115,63,2009-12-30,2024-07-04,4,77.4
500137,106,63,2019-01-08,2026-03-25,2,76.32
500138,116,100,2008-12-04,2024-12-18,3,62.05
500139,119,500,2024-04-10,2026-04-25,1,91.63
500140,109,250,2024-09-09,2026-01-04,1,94.94
500141,119,500,2018-08-19,2024-08-04,1,86.2
500142,120,500,2018-11-22,2026-03-18,4,53.43
500143,117,25,2019-05-13,2025-06-13,1,92.89
500144,111,160,2009-09-08,2025-11-12,2,83.78
500145,103,63,2007-05-24,2024-10-14,5,69.66
500146,108,1000,2006-09-10,2025-02-19,3,74.59
500147,124,500,2015-01-05,2025-04-16,2,79.98
500148,106,500,2015-04-26,2025-06-04,5,61.49
500149,117,250,2012-11-09,2024-12-21,1,86.86
500150,103,160,2023-12-17,2025-02-05,0,100.0
500151,124,100,2022-07-28,2025-09-13,4,76.68
500152,125,500,2011-11-17,2024-09-26,1,93.48
500153,122,1000,2014-05-11,2026-03-09,5,64.51
500154,123,63,2025-03-17,2026-03-28,0,100.0
500155,119,25,2024-06-10,2024-10-15,1,88.9
500156,117,25,2014-08-19,2025-06-23,0,100.0
500157,110,100,2017-07-24,2025-05-14,1,85.73
500158,118,1000,2008-10-09,2025-04-16,2,81.3
500159,111,500,2020-08-15,2025-08-05,4,53.93
500160,113,25,2015-11-08,2025-09-22,2,73.47
500161,125,500,2023-09-05,2025-02-08,3,66.9
500162,103,63,2013-12-31,2025-03-31,2,84.57
500163,123,250,2018-05-07,2026-05-13,3,60.24
500164,108,63,2021-02-01,2025-02-21,1,87.69
500165,124,25,2020-05-24,2025-09-19,0,100.0
500166,118,1000,2021-05-06,2024-08-08,2,81.42
500167,125,250,2023-10-11,2025-04-15,2,83.0
500168,110,160,2010-01-18,2024-12-03,1,88.58
500169,120,100,2007-11-17,2026-05-23,1,85.42
500170,120,100,2016-03-18,2025-05-07,4,78.92
500171,119,250,2025-03-21,2025-03-03,1,94.56
500172,121,1000,2022-02-10,2025-05-25,0,100.0
500173,111,63,2022-01-17,2024-10-19,3,61.4
500174,103,250,2012-09-05,2024-07-28,0,100.0
500175,105,100,2015-06-09,2025-04-18,2,82.24
500176,124,100,2024-08-21,2025-06-05,0,100.0
500177,121,160,2020-10-17,2025-07-31,6,12.51
500178,122,63,2013-03-07,2024-08-10,3,75.61
500179,114,1000,2013-02-01,2025-10-23,2,84.07
500180,104,500,2018-05-01,2025-08-15,3,56.77
500181,112,250,2008-05-28,2025-05-23,1,88.57
500182,123,160,2015-03-19,2025-09-06,3,57.42
500183,122,100,2011-05-22,2024-11-30,5,73.26
500184,102,1000,2024-07-27,2024-09-24,1,92.97
500185,113,100,2015-04-13,2025-11-29,3,72.32
500186,122,160,2014-01-28,2024-11-27,1,93.72
500187,116,250,2023-12-19,2026-03-16,1,85.52
500188,123,100,2008-03-07,2026-02-05,4,60.25
500189,112,500,2012-03-23,2024-08-21,2,79.61
500190,114,63,2018-11-05,2025-09-14,2,70.98
500191,115,100,2009-08-24,2024-06-10,3,83.43
500192,112,25,2014-03-12,2026-04-14,0,100.0
500193,120,250,2012-07-30,2025-07-18,4,55.32
500194,120,160,2019-05-08,2025-05-23,2,75.75
500195,106,25,2016-06-29,2025-05-12,1,92.36
500196,123,63,2016-09-15,2025-06-27,1,92.62
500197,124,63,2017-03-20,2025-11-01,3,78.39
500198,110,100,2011-10-15,2025-11-26,1,94.77
500199,122,160,2015-12-21,2026-01-26,6,60.62
500200,113,100,2007-01-18,2025-12-14,0,100.0
500201,101,1000,2011-02-23,2025-10-24,3,61.87
500202,103,63,2006-10-23,2026-02-15,2,87.56
500203,108,1000,2015-01-18,2025-07-04,2,78.29
500204,109,63,2018-10-11,2026-06-06,4,61.69
500205,111,500,2007-11-02,2024-07-22,3,60.37
500206,124,500,2006-06-11,2025-10-22,1,85.61
500207,103,63,2016-06-14,2024-08-22,0,100.0
500208,114,1000,2014-10-17,2025-07-30,3,59.79
500209,108,100,2009-01-02,2026-03-05,1,85.41
500210,116,25,2011-03-02,2024-09-30,2,89.77
500211,119,63,2021-05-12,2025-11-02,0,100.0
500212,112,25,2013-07-04,2025-08-19,1,92.49
500213,114,1000,2008-11-05,2026-03-06,2,77.36
500214,101,250,2006-06-17,2026-02-09,2,86.1
500215,101,1000,2007-06-13,2026-05-02,3,75.22
500216,110,25,2006-06-18,2026-03-05,0,100.0
500217,113,25,2020-07-02,2025-06-04,5,73.52
500218,108,160,2015-09-15,2025-07-03,2,87.68
500219,102,160,2008-08-03,2024-07-03,1,87.72
500220,107,25,2011-12-09,2024-06-15,2,77.84
500221,108,500,2007-12-04,2025-08-03,1,90.82
500222,122,63,2007-04-29,2025-09-11,2,77.24
500223,121,1000,2018-08-04,2025-10-19,0,100.0
500224,108,25,2015-06-17,2024-07-17,3,72.06
500225,121,63,2010-11-04,2025-05-18,4,57.22
500226,112,25,2006-09-18,2025-01-06,1,91.9
500227,112,1000,2020-08-30,2026-01-01,4,75.51
500228,103,63,2019-05-09,2026-02-16,4,55.66
500229,110,1000,2006-12-18,2025-12-17,1,92.31
500230,109,250,2023-09-16,2024-09-19,2,81.75
500231,102,63,2018-10-02,2025-02-07,3,56.93
500232,103,250,2010-05-10,2025-02-10,2,84.63
500233,108,500,2006-12-26,2025-08-27,3,74.07
500234,109,250,2023-02-15,2025-10-21,2,77.78
500235,123,250,2021-02-23,2024-07-07,2,70.02
500236,112,1000,2013-10-08,2024-12-18,3,70.12
500237,120,1000,2009-09-02,2025-02-23,2,83.11
500238,105,1000,2015-09-10,2024-12-31,1,87.54
500239,109,25,2021-11-15,2024-12-10,1,93.34
500240,102,25,2010-03-07,2025-05-26,0,100.0
500241,117,1000,2014-10-14,2026-05-17,1,94.71
500242,112,500,2012-01-25,2025-12-16,0,100.0
500243,108,25,2008-05-08,2024-12-30,2,82.04
500244,115,100,2015-09-14,2026-03-17,3,58.01
500245,113,250,2008-08-24,2025-03-23,3,67.14
500246,124,250,2015-01-27,2025-04-25,0,100.0
500247,107,100,2009-11-17,2025-01-03,5,53.19
500248,120,1000,2023-05-22,2024-09-06,1,85.32
500249,117,25,2008-12-01,2025-11-21,2,82.83
500250,102,63,2009-03-07,2025-06-29,1,89.87
500251,112,100,2021-02-24,2025-11-17,1,94.28
500252,118,1000,2018-07-02,2025-11-25,0,100.0
500253,119,100,2017-03-11,2025-03-13,1,85.18
500254,122,500,2024-04-14,2026-01-16,2,73.35
500255,118,500,2009-07-06,2025-04-15,2,76.31
500256,122,25,2021-06-06,2024-09-23,2,80.76
500257,101,100,2024-08-19,2026-06-06,1,94.22
500258,107,1000,2020-06-17,2026-05-22,5,59.16
500259,109,63,2015-09-09,2025-03-23,5,67.85
500260,118,160,2012-12-29,2025-09-29,5,54.02
500261,106,63,2024-12-25,2025-09-23,2,79.64
500262,102,250,2009-09-27,2024-09-25,1,91.02
500263,125,500,2017-10-05,2024-10-08,4,77.63
500264,122,25,2014-06-03,2025-08-03,1,86.6
500265,117,25,2012-03-23,2025-09-05,1,89.94
500266,109,100,2014-06-02,2025-09-18,0,100.0
500267,102,100,2013-07-17,2024-12-15,3,84.88
500268,111,63,2011-05-12,2026-01-17,0,100.0
500269,108,160,2017-02-22,2025-09-09,0,100.0
500270,110,160,2018-04-15,2024-06-29,2,89.06
500271,101,100,2022-03-31,2024-09-25,1,88.66
500272,106,63,2015-11-03,2025-11-17,6,12.54
500273,115,1000,2007-07-04,2024-11-03,1,92.06
500274,101,25,2023-06-22,2025-12-14,2,81.38
500275,102,25,2010-08-16,2026-04-29,1,88.36
500276,101,1000,2010-05-03,2025-04-21,1,87.16
500277,114,100,2018-07-05,2025-08-13,1,86.63
500278,119,250,2006-11-22,2025-10-19,3,81.15
500279,120,100,2015-10-23,2025-09-19,2,81.22
500280,119,1000,2010-05-22,2025-01-13,1,92.44
500281,102,500,2010-04-14,2024-08-19,1,93.86
500282,111,1000,2018-09-15,2026-04-01,1,85.86
500283,107,100,2022-11-04,2024-06-22,0,100.0
500284,120,25,2009-02-07,2024-09-23,0,100.0
500285,108,500,2017-09-15,2025-07-11,4,41.04
500286,101,25,2009-01-26,2025-04-18,0,100.0
500287,101,100,2017-03-21,2025-10-11,0,100.0
500288,120,160,2012-02-05,2025-08-29,2,81.66
500289,111,63,2010-09-06,2024-09-15,1,85.89
500290,121,63,2013-02-02,2026-05-10,2,70.95
500291,104,100,2022-09-24,2025-07-16,1,90.08
500292,124,25,2011-03-23,2025-08-13,1,87.52
500293,119,100,2016-05-13,2025-08-18,3,66.6
500294,122,1000,2013-05-19,2024-09-20,2,88.61
500295,124,100,2009-09-20,2024-12-11,3,84.44
500296,104,63,2014-05-08,2025-11-01,2,87.64
500297,109,500,2011-04-23,2024-07-16,1,94.34
500298,118,25,2018-04-08,2025-02-25,1,86.72
500299,110,25,2006-08-23,2024-06-23,3,83.12
500300,113,500,2018-05-25,2025-01-23,0,100.0
500301,123,1000,2016-05-16,2026-03-10,0,100.0
500302,118,25,2025-01-31,2025-11-05,2,80.04
500303,104,160,2010-09-10,2026-02-02,3,63.13
500304,123,63,2016-08-07,2024-06-22,4,68.39
500305,122,160,2015-09-20,2025-02-01,1,94.23
500306,122,500,2008-10-10,2025-09-08,2,76.5
500307,110,1000,2015-10-14,2025-12-02,1,85.55
500308,103,25,2016-08-21,2024-09-08,1,94.38
500309,123,63,2024-07-25,2026-04-18,1,88.51
500310,105,500,2025-06-03,2026-02-09,0,100.0
500311,107,160,2017-08-01,2025-12-26,2,89.35
500312,108,160,2022-08-19,2026-05-17,4,69.71
500313,118,25,2012-08-09,2025-05-15,3,63.98
500314,106,1000,2006-07-15,2025-11-04,3,83.66
500315,112,100,2020-04-13,2025-08-06,1,87.67
500316,120,1000,2016-01-15,2026-03-30,0,100.0
500317,104,250,2021-01-16,2025-08-03,3,66.98
500318,113,100,2021-01-06,2026-01-26,3,72.16
500319,106,500,2022-02-02,2026-02-21,1,86.12
500320,125,100,2023-09-29,2026-02-06,0,100.0
500321,106,500,2019-03-30,2025-10-07,3,72.63
500322,119,63,2016-12-18,2025-05-04,4,48.86
500323,113,63,2008-06-24,2025-08-07,2,81.97
500324,104,500,2021-09-14,2025-12-30,1,91.22
500325,103,25,2010-05-07,2025-11-06,1,94.12
500326,122,100,2007-05-24,2024-09-07,1,91.87
500327,103,100,2007-10-25,2025-01-28,2,77.36
500328,102,63,2021-09-26,2026-01-08,2,82.33
500329,116,500,2006-07-15,2025-07-01,1,91.61
500330,124,63,2006-07-13,2025-03-07,1,92.02
500331,114,250,2011-06-28,2024-07-31,4,51.96
500332,119,1000,2017-03-24,2025-08-30,2,76.92
500333,109,63,2023-10-22,2024-11-30,3,83.78
500334,107,25,2019-08-16,2024-12-20,4,53.37
500335,110,1000,2023-05-19,2024-12-28,2,79.32
500336,109,160,2013-09-23,2024-09-26,2,71.61
500337,120,160,2015-10-30,2025-09-23,1,91.17
500338,102,100,2015-01-19,2026-04-14,1,93.3
500339,125,500,2009-03-15,2025-03-28,2,71.47
500340,113,500,2013-05-14,2026-03-06,5,39.31
500341,114,1000,2009-10-22,2024-06-15,1,89.59
500342,123,250,2014-05-18,2025-02-05,3,78.22
500343,111,250,2007-02-21,2026-01-17,0,100.0
500344,102,63,2018-05-18,2025-06-10,0,100.0
500345,118,500,2017-08-15,2025-06-02,2,70.52
500346,101,250,2010-01-18,2026-01-29,2,74.69
500347,104,160,2006-11-26,2024-12-06,1,92.24
500348,103,500,2014-11-06,2025-08-04,5,40.23
500349,122,1000,2014-12-10,2025-05-11,1,89.54
500350,120,25,2016-07-19,2024-09-06,4,48.97
500351,111,1000,2017-09-01,2024-08-26,4,70.52
500352,106,500,2016-05-12,2025-05-12,2,86.83
500353,122,160,2006-09-02,2025-11-09,8,47.12
500354,101,63,2018-08-17,2025-04-02,1,88.53
500355,107,160,2009-10-08,2024-10-04,2,86.0
500356,109,25,2015-10-24,2025-08-10,2,77.08
500357,112,25,2021-09-09,2026-03-17,2,87.83
500358,113,63,2010-05-06,2024-09-23,0,100.0
500359,107,63,2014-08-14,2025-11-27,3,69.21
500360,105,100,2020-11-16,2024-11-05,0,100.0
500361,118,250,2019-04-25,2024-11-30,2,85.98
500362,114,63,2015-07-26,2025-09-24,2,72.67
500363,113,160,2022-02-12,2024-12-30,5,49.11
500364,117,250,2010-07-16,2025-07-09,0,100.0
500365,107,100,2017-09-21,2025-05-23,1,90.75
500366,108,63,2021-04-05,2025-08-01,3,83.11
500367,113,500,2016-04-17,2024-07-11,1,91.26
500368,125,160,2016-12-17,2024-09-09,3,61.78
500369,112,1000,2024-10-31,2025-01-26,0,100.0
500370,122,160,2024-02-05,2024-09-29,3,82.27
500371,108,1000,2024-03-30,2025-03-01,0,100.0
500372,121,25,2016-07-28,2025-08-13,3,74.46
500373,110,25,2017-01-26,2025-07-13,2,70.95
500374,124,100,2009-04-17,2025-01-05,0,100.0
500375,101,63,2010-01-25,2026-04-14,2,84.91
500376,102,500,2024-06-10,2024-10-26,1,94.84
500377,108,100,2012-02-18,2025-05-30,2,89.58
500378,105,1000,2007-07-19,2024-10-26,1,87.41
500379,112,500,2019-05-23,2025-11-16,2,78.48
500380,102,1000,2008-10-13,2025-08-13,1,89.04
500381,105,250,2012-07-24,2024-11-25,2,89.54
500382,115,100,2013-07-12,2025-01-04,3,77.28
500383,107,160,2023-09-28,2026-04-09,5,74.88
500384,112,250,2006-06-13,2024-07-15,2,71.42
500385,103,160,2025-04-10,2025-07-20,2,75.52
500386,108,25,2016-06-15,2025-04-14,3,66.95
500387,105,160,2018-09-07,2024-09-02,6,51.41
500388,113,63,2006-07-28,2025-06-26,0,100.0
500389,124,250,2016-03-23,2025-05-13,3,59.05
500390,119,63,2018-10-13,2025-07-02,2,74.71
500391,113,500,2011-01-03,2026-05-17,3,56.16
500392,121,500,2024-07-01,2025-06-13,4,72.69
500393,112,500,2019-05-23,2025-12-29,3,60.32
500394,125,63,2016-04-29,2025-11-05,1,86.19
500395,111,500,2014-06-07,2026-02-18,1,89.38
500396,107,1000,2019-05-24,2026-03-05,2,74.53
500397,101,250,2011-11-09,2024-08-16,2,70.81
500398,120,1000,2015-10-10,2026-01-07,2,74.85
500399,104,1000,2013-11-21,2025-10-27,3,77.68
500400,104,25,2006-07-19,2024-12-22,1,93.13
500401,116,63,2006-08-16,2024-06-28,2,82.92
500402,121,63,2007-06-05,2025-01-18,1,92.96
500403,116,1000,2017-06-15,2025-06-28,0,100.0
500404,113,25,2015-12-25,2025-09-20,1,91.9
500405,123,500,2013-04-03,2025-01-11,1,92.68
500406,115,63,2007-01-17,2026-05-19,0,100.0
500407,101,100,2019-03-29,2024-08-05,2,71.21
500408,116,25,2020-03-05,2026-04-25,4,54.57
500409,102,160,2023-09-16,2025-11-16,0,100.0
500410,101,250,2018-05-03,2024-10-01,0,100.0
500411,111,63,2006-07-30,2025-10-11,2,81.49
500412,116,63,2011-07-24,2024-06-22,1,92.62
500413,124,500,2022-08-07,2025-04-22,0,100.0
500414,108,100,2018-08-17,2024-12-07,2,87.52
500415,109,1000,2008-12-08,2024-09-29,1,94.87
500416,119,500,2024-09-07,2025-01-26,2,72.68
500417,124,63,2010-09-22,2025-04-14,4,60.72
500418,116,63,2013-06-05,2024-11-23,2,89.22
500419,111,25,2018-07-11,2026-05-21,2,73.94
500420,106,250,2024-06-11,2024-10-31,2,71.73
500421,112,100,2015-05-01,2024-07-01,6,69.52
500422,104,100,2008-09-19,2025-07-25,1,86.18
500423,107,250,2016-09-14,2024-06-18,3,78.77
500424,104,100,2025-05-07,2026-05-16,4,76.03
500425,111,500,2013-01-24,2026-05-14,3,66.77
500426,123,25,2008-02-22,2025-08-17,2,83.2
500427,113,500,2020-08-25,2025-11-28,3,82.65
500428,118,160,2019-10-26,2026-02-19,1,88.29
500429,115,100,2019-05-16,2025-04-01,2,70.61
500430,123,100,2016-08-11,2024-06-15,1,93.58
500431,118,1000,2019-03-31,2025-04-24,1,85.9
500432,102,250,2014-05-16,2024-12-04,4,63.07
500433,105,500,2017-02-12,2025-12-17,0,100.0
500434,120,63,2023-01-05,2025-01-08,0,100.0
500435,115,100,2022-02-15,2024-10-06,0,100.0
500436,108,63,2017-10-09,2024-07-29,3,65.03
500437,105,250,2010-09-12,2024-12-23,4,67.93
500438,119,160,2010-06-23,2024-09-10,1,93.51
500439,109,500,2023-02-03,2026-01-04,1,90.2
500440,122,500,2020-01-08,2025-05-29,1,93.53
500441,110,1000,2015-11-28,2025-11-23,0,100.0
500442,106,25,2019-10-15,2025-03-30,1,94.8
500443,120,1000,2010-03-30,2024-10-25,1,86.13
500444,120,63,2023-03-05,2024-06-18,1,86.75
500445,113,1000,2009-12-07,2025-04-16,1,86.48
500446,121,500,2021-05-17,2025-08-19,1,89.09
500447,122,63,2015-10-24,2024-07-26,1,86.7
500448,109,500,2014-09-19,2025-01-22,0,100.0
500449,107,63,2024-04-27,2025-12-20,1,89.17
500450,101,160,2012-06-06,2026-05-23,1,94.66
500451,111,100,2022-05-11,2025-09-02,2,84.14
500452,103,250,2010-09-22,2026-01-12,5,31.71
500453,114,63,2007-07-30,2026-01-04,2,83.93
500454,109,25,2013-05-29,2025-04-21,0,100.0
500455,114,63,2006-07-01,2025-10-05,3,67.17
500456,121,100,2021-08-03,2025-11-05,1,88.56
500457,115,25,2018-04-24,2025-12-16,4,60.85
500458,120,25,2014-03-18,2025-07-11,1,92.13
500459,118,500,2014-06-12,2024-10-31,4,40.21
500460,108,100,2022-11-02,2024-12-29,0,100.0
500461,110,25,2009-02-04,2024-09-19,2,88.06
500462,112,1000,2024-06-12,2025-11-21,2,80.8
500463,112,1000,2013-07-02,2025-09-14,3,65.95
500464,116,1000,2025-04-01,2025-12-20,0,100.0
500465,117,100,2011-06-15,2025-07-02,2,88.15
500466,117,250,2012-10-02,2025-04-09,2,76.58
500467,101,250,2011-03-25,2025-09-17,1,85.61
500468,122,1000,2017-03-09,2026-04-23,1,90.93
500469,111,63,2018-10-14,2025-09-28,2,83.11
500470,112,250,2007-10-13,2025-08-12,0,100.0
500471,115,160,2009-12-28,2024-09-06,1,90.41
500472,106,250,2011-04-12,2024-07-06,0,100.0
500473,124,500,2008-11-01,2025-11-27,1,89.87
500474,103,500,2019-03-22,2025-12-07,2,76.74
500475,102,250,2018-08-12,2025-12-07,1,94.67
500476,123,100,2025-01-31,2025-11-07,1,92.89
500477,121,25,2012-10-28,2024-07-12,3,68.91
500478,116,250,2019-09-09,2025-04-25,0,100.0
500479,106,160,2022-12-31,2024-07-13,2,82.64
500480,114,500,2015-02-02,2026-04-22,3,82.21
500481,117,1000,2022-11-07,2026-05-20,3,57.9
500482,109,250,2018-09-30,2025-06-22,0,100.0
500483,121,25,2018-02-27,2025-04-08,2,76.18
500484,103,1000,2018-08-22,2026-02-22,4,68.1
500485,114,1000,2010-06-15,2026-06-03,3,66.34
500486,109,160,2015-07-12,2025-07-25,1,91.3
500487,110,1000,2022-11-12,2025-03-25,3,84.53
500488,125,100,2022-05-11,2026-04-25,1,88.6
500489,116,63,2016-03-18,2025-03-07,1,91.47
500490,107,160,2019-05-02,2024-08-03,1,89.87
500491,109,160,2011-05-31,2024-11-09,0,100.0
500492,103,25,2023-10-06,2026-03-04,4,69.67
500493,122,250,2025-04-06,2026-02-14,2,78.14
500494,119,100,2008-08-28,2024-12-26,3,56.77
500495,106,500,2017-02-19,2025-09-21,8,0.47
500496,113,63,2015-12-27,2026-04-21,2,88.7
500497,108,63,2007-06-17,2026-01-21,4,67.02
500498,116,250,2019-12-30,2024-12-16,0,100.0
500499,122,250,2022-02-03,2026-05-22,1,85.61
500500,104,160,2021-10-14,2025-03-16,3,57.31
500501,119,160,2017-01-19,2026-03-02,1,94.09
500502,113,25,2007-02-11,2025-09-28,2,73.82
500503,119,100,2019-08-16,2025-08-31,2,86.33
500504,118,250,2020-09-01,2025-12-08,2,87.5
500505,113,500,2024-02-29,2026-02-21,3,74.85
500506,111,100,2009-01-16,2025-11-21,2,77.29
500507,110,1000,2009-05-06,2025-09-15,2,71.0
500508,113,250,2007-03-10,2025-07-23,1,93.6
500509,120,63,2020-01-13,2025-03-19,0,100.0
500510,125,63,2012-08-16,2025-11-28,2,81.68
500511,110,100,2017-03-19,2024-08-01,2,84.83
500512,125,500,2006-11-22,2025-04-21,3,82.14
500513,110,63,2017-07-18,2026-02-17,3,60.87
